CustomerID,Recommendations
C0001,"[('C0190', 0.9900070822932618), ('C0048', 0.981854506153184), ('C0091', 0.9489731531416632)]"
C0002,"[('C0088', 0.8902838554961774), ('C0083', 0.8750292473043353), ('C0077', 0.8724516969824332)]"
C0003,"[('C0031', 0.9758179433935927), ('C0052', 0.9667511410254189), ('C0025', 0.9462775383688941)]"
C0004,"[('C0155', 0.9801789455240874), ('C0087', 0.9242614899970937), ('C0104', 0.9199006702251348)]"
C0005,"[('C0186', 0.9974386620285471), ('C0007', 0.9874280119333079), ('C0140', 0.9830098938192803)]"
C0006,"[('C0168', 0.9568203807551133), ('C0187', 0.8406218579679174), ('C0011', 0.8231977502500253)]"
C0007,"[('C0005', 0.9874280119333079), ('C0115', 0.9840162755531032), ('C0140', 0.980932754676908)]"
C0008,"[('C0139', 0.9452980131807521), ('C0109', 0.9164887190393576), ('C0090', 0.9126642144697007)]"
C0009,"[('C0198', 0.9794306221560876), ('C0062', 0.9657390974388288), ('C0061', 0.9635792227747008)]"
C0010,"[('C0009', 0.9620709532794421), ('C0061', 0.9416599123301396), ('C0111', 0.9298102371523316)]"
C0011,"[('C0137', 0.9767574822148887), ('C0191', 0.9235604234962232), ('C0187', 0.9145148405317778)]"
C0012,"[('C0113', 0.9584512558177033), ('C0104', 0.9422920398753556), ('C0163', 0.9336242610464995)]"
C0013,"[('C0099', 0.9873338088159833), ('C0108', 0.9693874249240687), ('C0087', 0.9034058508298735)]"
C0014,"[('C0060', 0.9994884100730932), ('C0097', 0.9561843040747516), ('C0110', 0.9523221796939199)]"
C0015,"[('C0036', 0.9862997253561466), ('C0131', 0.9854405651904585), ('C0033', 0.9522903430925754)]"
C0016,"[('C0183', 0.9999582181497574), ('C0067', 0.9098112844877042), ('C0030', 0.8790388949116485)]"
C0017,"[('C0075', 0.9875130021718012), ('C0041', 0.9041457171737189), ('C0090', 0.9022633263096453)]"
C0018,"[('C0117', 0.7999200404069599), ('C0046', 0.7474551678443454), ('C0122', 0.716506276409527)]"
C0019,"[('C0081', 0.8484634433194108), ('C0172', 0.8131482747626514), ('C0119', 0.7169919510966675)]"
C0020,"[('C0015', 0.9461448061955895), ('C0140', 0.9439916000949129), ('C0131', 0.9196783185939115)]"
